utt_id,topic,wer_baseline,wer_topic,delta_wer,ref,hyp_baseline,hyp_topic
eLS1vcpGVHQ_12__e9dd9adc_00_000000_000090,Other,90.0,100.0,-10.0,i surrendered good quite i surrendered to the low security,years ago when i was,the speaker is discussing other
wXWA6OXkPWY_0__fd81f122_00_000000_000091,Other,77.8,88.9,-11.1,of the 12 tribes of the children of israel,12 times on the tutu of the shirt,twelve times on the tuition of the shirt
awy4VObEPUk_7__75cff8f7_00_000000_000359,Other,80.8,92.3,-11.5,from an early age up through even college and there's not a whole lot for adults in here but it does give some good general guidelines,of computer geek jumped through leave the netherlands and to stay in hong kong for another year but this is if some good shenanigans,of computer geek jumped through leave the netherlands and to stay in holland for another year please don't judge someone on their talents and
wTJZcVBobyQ_0__c223749c_00_000000_000300,Other,88.5,100.0,-11.5,we use i won't get into brands but different stuccoes have different suctions and so ghosting effects if you know how to get the suction right,i don't know if i'm going to be able to,the speaker is discussing other
UDUzjcEB9UE_3__6084731d_00_000000_000131,Other,87.5,100.0,-12.5,hey it's cheyenne and today i am playing yo world and i don't usually do this,1980s and i went to one of those all girl private schools and,the speaker is discussing other
mnsm18UStpg_4__a67fae4e_00_000000_000092,Other,87.5,100.0,-12.5,and speak to and interact with both the,2000 years ago and,the speaker is discussing other
TsW0x9WhoOY_6__2bf37d67_00_000000_000091,Entertainment,86.7,100.0,-13.3,i was able to put this cabinet and that one over there show them that,for this time and i have to figure out how to,the speaker is discussing entertainment
ZCEou81szUI_0__5287549e_00_000000_000244,Entertainment,86.4,100.0,-13.6,to right to six behind side cross side and you start over again now let me go the dance with the counts,around the city behind the skyscrapers behind the lights behind the houses behind the,around the city behind the skyscrapers behind the lights behind the clouds and how beautiful it is to work out in the
65N3qPp0q68_7__8c717027_00_000000_000136,Other,85.7,100.0,-14.3,ooh that's rather like a drinking yoghurt,that's why they lie it's trickery,the speaker is discussing other
KHOr3HMQcXo_3__4fa0e96c_01_000299_000383,Other,85.7,100.0,-14.3,but that asylum was denied in 2010,that science and religion can coexist,that's not the way research works
ybR8S2FA-A0_0__c92ab9d5_00_000000_000173,Other,100.0,115.4,-15.4,goes on coral grab by maria mag is a 32 count 2 way,have no choice to do what our people have been doing since the,have no choice to do what our people have been doing since the dawn of
jnPEjbGzWVQ_29__ab65d565_00_000000_000075,Other,84.6,100.0,-15.4,sometime between 6 and 8 p m eastern and we'll get that out,september 26th came and went and i didn't work there,the speaker is discussing other recognize this speech in english
ZA1MLWDnImU_0__c82c2277_00_000000_000090,Cooking/Food,84.6,100.0,-15.4,you will get a choice of create a profile or calibrate your printer,in search of the right profile called animal husbandry,institute for non profit called animal welfare advocates
plJcn0IaPZg_8__a23a897e_00_000000_000260,Technology,83.3,100.0,-16.7,see how they work they both came with level 4 software licensing and i don't know if i've talked about it but i'm not a huge fan of software licensing,i don't know if it's a coincidence or not but,the speaker is discussing technology
dGBWElpK59k_8__2d7b98d1_01_000300_000369,Other,83.3,100.0,-16.7,browser right now this is blank,also right here in this,i'll try to explain it
ZgK5a7Ygk7A_0__03707105_00_000000_000158,Other,78.3,95.7,-17.4,you're gonna pay 700 over ringgit no i'm like what straight away you have to pay before you port over to another telco,because if you're overthinking you'll come up with the wrong answer you have to play it out before you buy over to the zero,because it's very hard to overthink and talk about it in a rational way you have to play it out for you to buy over to the zero
mZ6s1YhKeMg_9__1666f48b_00_000000_000088,Other,81.8,100.0,-18.2,up the order and just a little bit over the edge,to the neurosurgeon she's sitting up in the operating,to those streets and she's sitting up in her wheelchair and she
9KACXV-cW-4_0__724f88a1_00_000000_000072,Other,100.0,120.0,-20.0,now those predictions i think,of first impressions by this,of first impressions the same author
RTQGYPibdqA_2__2d36ae98_01_000299_000372,Other,80.0,100.0,-20.0,canon usa look for it,eat chicken or for that,in the curriculum or further
Sh-NYbDcUug_1__4573a439_00_000000_000329,Cooking/Food,91.7,113.9,-22.2,close parentheses to type it in and then once i've finished typing that in you'll see the word hello displayed in our preview window pretty cool right pretty simple all that stuff is great now what,person to do it they'd be like i don't want to feel like i'm eating a sandwich that was made in a perfect room with perfect air conditioning perfect temperature now,person to do it so that's what i'm going to be doing for the next 15 minutes or so and then we're going to get out of here because i don't want to be here any longer than i have to now
KpcnLIhd47Q_10__6cfe1034_01_000250_000314,Other,100.0,125.0,-25.0,tension new developments every,physical and emotional,the speaker is discussing other
-7tusOdq-Aw_9__433c1e07_00_000000_000075,Business/Finance,90.9,127.3,-36.4,the 25 most important people to the growth of your business,the one that i'm most proud of is this one,so what's the point of all this let me tell you what the point is
oOcLf4qcoG4_0__a55c5024_00_000000_000091,Other,38.5,92.3,-53.8,or you can actually bring the pro controller with you on the go,to actually bring the broken dollar with you on the go,the speaker is discussing other
j9EUO6q-C3g_0__9c4dd2e3_00_000000_000148,Cooking/Food,100.0,188.9,-88.9,teaspoon of baking soda and salt you may say,beethoven sonata and it's going to take you about 15,the speaker is discussing cooking food recognize this song and it's got a lot of humor in it
XkBLBlF4TYo_1__995a8ace_00_000000_000360,Cooking/Food,92.7,197.6,-104.9,see a little mix in on the backside you can see on the backside of our system we're going to see a little wintery weather so tuesday is an all day downpour cold rain actually maybe enough to even cause flood,a little mixed on the back side it's like the bad side versus the good side one zero one two zero three zero four zero five zero six zero seven zero eight zero nine zero ten zero eleven zero twelve,a little mixed on the backside it's like the bad side versus the good side one zero one two zero three zero four zero five zero six zero seven zero eight zero nine zero a zero b zero c zero d zero e zero f zero g zero h zero i zero j zero k zero l zero m zero n zero o zero p zero q zero r zero s zero t zero u zero v zero w zero x zero y zero z zero
